media,zipcode,1_Month,daily_avg,mon_fri_avg,sat_sun_avg
TARRAGONA21.CAT,43007,29.460,950,906,1.079
COMARQUESDEPONENT.COM,25300,30.145,972,1.041,776
LABUSTIA.CAT,08640,31.866,1.028,1.112,787
LAFURAPENEDES.CAT,08720,37.849,1.221,1.359,824
LLEIDADIARI.CAT,25001,43.525,1.404,1.477,1.196
RADIOCAPITAL.CAT,17256,39.074,1.260,1.415,818
ANOIADIARI.CAT,08700,48.897,1.577,1.725,1.154
MARFANTA.COM,43500,41.458,1.337,1.494,886
CANAL21EBRE.COM,03500,34.067,1.099,1.216,761
THENEWBARCELONAPOST.CAT - CATALA,08008,25.319,817,798,870
CATALUNYAMAGRADA.CAT - CATALA,08172,15.939,514,484,600
INFOANOIA.CAT,08788,31.300,1.010,1.117,701
TERRITORIS.CAT,25230,13.853,447,506,277
LAMIRA.CAT,08010,19.205,620,659,506
INFONORD.ES,12600,15.248,492,568,274
NOVATARREGA.CAT,25300,18.017,581,637,421
GASTRONOMICAMENT.CAT - CATALA,07005,10.319,333,321,368
PANXING.NET,08339,14.223,459,457,463
BALAGUER.TV,25600,10.217,330,374,203
ELCUGATENC.CAT,08171,16.912,546,630,304
SAVEU.CAT,07100,34.755,1.121,1.241,777
CATALUNYAPLURAL.CAT - CATALA,08029,11.379,367,404,260
VALENCIADIARI.COM,46007,12.968,418,506,166
MOLLERUSSA.TV,25230,7.565,244,244,244
INFOCAMP.CAT,43001,10.939,353,359,334
RÀDIO CIUTAT DE TARRAGONA,43005,14.458,466,554,214
PIRINEUSTV.CAT,25700,13.992,451,499,315
UEPMALLORCA.APP,07011,9.525,307,310,299
ELSOLLER.CAT,07011,14.834,479,502,412
JORNAL.CAT,08176,11.272,364,440,143
PIRINEUSDIGITAL.CAT,25700,13.994,451,513,274
TDBACTUALITAT.CAT,43830,8.869,286,314,205
ALDIA.CAT,08015,10.252,331,366,228
EXPRESDESANTANDREU.CAT,08389,9.534,308,333,236
VALORS.ORG,08301,7.125,230,261,140
AMICFICCIONS.CAT,08007,28.283,912,1.118,322
COMARQUESNORD.CAT,44586,14.880,480,523,356
TARREGA.TV,25300,3.602,116,139,51
MESEBRE.CAT,43007,5.918,191,228,85
LAGUIADEREUS.COM,43203,6.064,196,213,147
PLAURGELLTV.CAT,25007,12.612,407,483,188
RUBITV.CAT,08202,5.630,182,194,147
LESVEGUERIES.CAT,08720,3.675,119,145,43
MANRESADIARI.CAT,08243,8.986,290,305,246
ELCAFEDEPIPA.COM,12600,3.841,124,130,106
FIRESIFESTES.ES - CATALÀ,07350,4.602,148,106,272
BELLATERRADIARI.CAT,08193,5.621,181,216,83
AMIC,08007,5.336,178,197,124
MESOSONA.CAT,08500,6.031,195,226,105
ONABAGES.CAT,08650,3.744,121,135,79
GARRIGUESTV.CAT,25007,8.913,288,334,153
INDICADORDEECONOMIA.COM,43203,4.144,134,162,52
DIARISANITAT.CAT,08029,2.996,97,108,64
FOSBURY.CAT,08750,1.922,62,70,39
LACONCA51.CAT,43400,1.930,62,72,36
SEGARRATV.CAT,25007,4.038,130,141,98
NOTICIESTGN.CAT,43003,1.216,39,46,20
SEGRIATV.CAT,25007,2.803,90,99,65
RADIOVALIRA.AD,25700,2.557,82,89,64
NOGUERATV.CAT,25007,2.158,70,76,50
EBREEXPERIENCE.COM,43007,1.248,40,45,25
BAIX CAMP RADIO,43005,802,26,28,21
DIARITREBALL.CAT,08029,861,28,34,11
URGELLTV.CAT,25007,1.523,49,55,31
21RADIO.CAT,03500,570,18,21,11
AUE.CAT,25007,550,18,19,14
FEMBASE.CAT,25001,446,15,18,7
AMICIB.MEDIA,08007,361,12,14,5
