media,zipcode,1_Month,daily_avg,mon_fri_avg,sat_sun_avg,pages_per_visit,avg_visit_duration,avg_interaction_time
MENORCAALDIA.COM,07702,76.888,5.092,4.784,5.977,"1,65",0:02:05,0:02:23
NOUDIARI.ES,07800,117.754,5.973,6.235,5.222,"1,34",0:01:30,0:01:10
OKDIARIO.COM - OKBALEARES,28033,398.109,15.926,15.876,16.070,"1,09",0:01:54,0:00:48
PALMESANA.COM,07005,6.183,226,233,205,"1,19",0:01:57,0:00:53
PASIONPORELMAR.COM,07005,2.354,89,93,76,"1,68",0:03:42,0:01:14
PERIODICODEIBIZA.ES,07800,1.482.313,73.971,80.448,55.353,"1,56",0:02:13,0:01:21
REVISTA07500.COM,07500,23.699,1.020,810,1.625,"1,27",0:01:14,0:00:58
SAVEU.CAT,07100,6.688,576,625,435,"1,48",0:01:59,0:02:46
UEPMALLORCA.APP,07011,4.543,168,171,160,"1,65",0:01:59,0:00:40
ULTIMAHORA.ES,07011,3.637.280,221.157,224.743,210.847,"2,03",0:03:48,0:03:10
ELNACIONAL.CAT - CATALÀ,08029,2.163.060,251.976,256.762,238.214,"2,37",0:05:31,0:15:18
RAC1.CAT,08036,2.103.975,257.141,270.580,218.506,"2,40",1:13:14,0:04:40
ARA.CAT - CATALÀ,08015,1.788.021,143.977,145.676,139.090,"3,03",0:06:01,0:07:37
GRUP ELMON.CAT,08221,1.230.440,70.304,69.790,71.783,"1,33",0:02:02,0:02:10
BALEARSVADEVI.CAT,08221,5.036,192,180,226,"1,71",0:01:46,0:01:08
CASTELLONOTICIES.COM,08221,9.806,821,882,644,"1,49",0:02:04,0:02:39
DIARILAVEU.CAT,08221,115.118,6.438,6.921,5.051,"1,54",0:02:54,0:02:57
ELMON.CAT,08221,819.241,46.522,45.419,49.693,"1,31",0:02:04,0:02:14
ELMON.CAT - ISABADELL.CAT,08221,61.057,3.375,3.485,3.060,"1,52",0:02:00,0:01:59
ELMON.CAT - ELCINEFIL.CAT,08221,9.167,333,325,353,"1,66",0:02:29,0:00:54
ELMON.CAT - VADEVI,08221,32.781,1.369,1.077,2.206,"1,21",0:02:17,0:01:44
ELMON.CAT - TOTBARCELONA.CAT,08007,286.208,15.306,14.172,18.569,"1,13",0:01:27,0:01:16
ELMON.CAT - VADEGUST,08221,50.632,1.993,2.219,1.344,"1,07",0:01:23,0:00:54
LAVEUDELSLLIBRES.CAT,08221,7.434,295,244,439,"1,33",0:03:20,0:02:12
MONESPORT.CAT,08221,131.214,7.302,6.918,8.408,"1,08",0:01:14,0:01:25
MONPLANETA.CAT,08221,21.774,901,911,873,"1,11",0:01:40,0:01:08
MONTERRASSA.CAT,08221,129.382,8.677,9.060,7.577,"1,33",0:01:47,0:02:00
NOSALTRESLAVEU.CAT,08221,2.424,85,89,75,"1,14",0:02:02,0:00:51
TORNAVEU.CAT,08221,4.227,160,179,106,"1,43",0:02:57,0:01:01
E-NOTICIES - E-NOTICIES.CAT,08025,848.652,113.578,118.043,100.740,"1,45",0:03:18,0:08:09
BETEVE.CAT,08018,813.519,49.973,51.089,46.766,"1,52",0:02:39,0:02:01
EL PUNT AVUI.CAT,17005,686.317,43.857,44.975,40.641,"2,32",0:03:06,0:03:12
EL PUNT AVUI.CAT - LECONOMIC,17005,7.605,296,318,233,"2,56",0:12:45,0:02:06
EL PUNT AVUI.CAT - LESPORTIUDECATALUNYA.CAT,17005,108.343,5.412,5.537,5.051,"2,08",0:04:28,0:01:51
DIARIDEGIRONA.CAT,17002,678.887,62.303,64.115,57.096,"1,98",0:04:03,0:05:20
XCATALUNYA.CAT - CATALA,17001,635.636,74.067,73.952,74.397,"1,24",0:02:01,0:04:35
REGIÓ7.CAT,08243,628.992,54.636,55.982,50.765,"1,77",0:03:20,0:04:36
SEGRE.COM - CATALÀ,25007,370.050,29.554,30.287,27.447,"2,06",0:03:33,0:04:10
TIMEOUT.CAT,08002,347.250,14.720,13.547,18.094,"1,26",0:01:22,0:00:50
CATALUNYADIARI.COM,08006,346.772,33.004,31.503,37.319,"1,27",0:02:46,0:04:53
GRUP RACOCATALA (P),08010,295.741,12.862,13.390,11.342,"1,88",0:03:31,0:01:52
AUDIO.CAT,08010,2.332,87,97,60,"1,71",0:02:14,0:00:36
RACOCATALA.CAT,08010,183.436,8.540,8.946,7.374,"1,96",0:03:32,0:02:24
RACOCATALA.CAT - VERSOS.CAT,08010,13.041,483,520,378,"2,31",0:03:43,0:01:29
RACOCATALA.CAT - NATIONALIA.CAT,08010,1.311,53,60,36,"1,64",0:03:27,0:01:30
RACOCATALA.CAT - BLOG.CAT,08010,7.133,260,283,194,"1,22",0:03:07,0:01:18
SOCIAL.CAT,08010,19.736,823,961,428,"1,54",0:04:50,0:01:26
