codigo postal,lat,lon,poblacion,provincia,comunidad autonoma,prob_c,comarca2,provincia2,comunidad2,code2,prob_2
7350,2842185490.0,39688989570,Binissalem,Illes Balears,Illes Balears,binissalem,,,,,
25752,1358752370.0,41841992110,Biosca,Lleida,Cataluña,biosca,Vallès Oriental,Barcelona,Cataluña/ Catalunya,80235.0,bigues i riells del fai
25753,1358752370.0,41841992110,Biosca,Lleida,Cataluña,biosca,Vallès Oriental,Barcelona,Cataluña/ Catalunya,80235.0,bigues i riells del fai
25772,1358752370.0,41841992110,Biosca,Lleida,Cataluña,biosca,Vallès Oriental,Barcelona,Cataluña/ Catalunya,80235.0,bigues i riells del fai
17723,2894999120.0,42337647830,Biure,Girona,Cataluña,biure,Baix Empordà,Gerona/Girona,Cataluña/ Catalunya,170221.0,bisbal demporda la
43411,1158880330.0,41438536950,Blancafort,Tarragona,Cataluña,blancafort,Alt Empordà,Gerona/Girona,Cataluña/ Catalunya,172348.0,biure
17300,2792292960.0,41675921570,Blanes,Girona,Cataluña,blanes,Conca de Barberà,Tarragona,Cataluña/ Catalunya,430290.0,blancafort
17723,2856062540.0,42329608280,Boadella i les Escaules,Girona,Cataluña,boadella i les escaules,Selva,Gerona/Girona,Cataluña/ Catalunya,170237.0,blanes
46880,-0.61108501,38766383590,Bocairent,Valencia/València,Comunidad Valenciana,bocairent,Alt Empordà,Gerona/Girona,Cataluña/ Catalunya,170293.0,boadella i les escaules
46822,-0.67413079,39062586740,Bolbaite,Valencia/València,Comunidad Valenciana,bolbaite,La Vall d'Albaida,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46072.0,bocairent
3518,-0.11168494,38676576810,Bolulla,Alicante/Alacant,Comunidad Valenciana,bolulla,La Canal de Navarrés,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46073.0,bolbaite
