media,zipcode,visits_data
DIARIO SIGLO XXI,46015.0,"{'browser_uniques': {'1_Month': '86.243', 'daily_avg': '2.952', 'mon_fri_avg': '3.305', 'sat_sun_avg': '1.936', 'pages_per_visit': '1,22', 'avg_visit_duration': '0:02:03', 'avg_interaction_time': '0:00:28'}, 'visits': {'1_Month': '106.826', 'daily_avg': '3.446', 'mon_fri_avg': '3.850', 'sat_sun_avg': '2.286'}, 'pages': {'1_Month': '130.858', 'daily_avg': '4.221', 'mon_fri_avg': '4.667', 'sat_sun_avg': '2.940'}}"
DIARIODEALICANTE.NET,46007.0,"{'browser_uniques': {'1_Month': '19.263', 'daily_avg': '747', 'mon_fri_avg': '815', 'sat_sun_avg': '554', 'pages_per_visit': '1,59', 'avg_visit_duration': '0:01:48', 'avg_interaction_time': '0:00:35'}, 'visits': {'1_Month': '25.483', 'daily_avg': '822', 'mon_fri_avg': '900', 'sat_sun_avg': '598'}, 'pages': {'1_Month': '40.635', 'daily_avg': '1.311', 'mon_fri_avg': '1.437', 'sat_sun_avg': '949'}}"
DIARIODELPUERTO.COM,46120.0,"{'browser_uniques': {'1_Month': '84.566', 'daily_avg': '3.338', 'mon_fri_avg': '3.969', 'sat_sun_avg': '1.526', 'pages_per_visit': '1,49', 'avg_visit_duration': '0:02:09', 'avg_interaction_time': '0:00:49'}, 'visits': {'1_Month': '117.714', 'daily_avg': '3.797', 'mon_fri_avg': '4.543', 'sat_sun_avg': '1.654'}, 'pages': {'1_Month': '175.288', 'daily_avg': '5.654', 'mon_fri_avg': '6.807', 'sat_sun_avg': '2.341'}}"
DIGITALES DE LA MARINA ALTA Y BAIXA (P),3725.0,"{'browser_uniques': {'1_Month': '114.610', 'daily_avg': '5.378', 'mon_fri_avg': '5.870', 'sat_sun_avg': '3.963', 'pages_per_visit': '1,34', 'avg_visit_duration': '0:01:17', 'avg_interaction_time': '0:00:46'}, 'visits': {'1_Month': '189.968', 'daily_avg': '6.022', 'mon_fri_avg': '6.584', 'sat_sun_avg': '4.406'}, 'pages': {'1_Month': '250.985', 'daily_avg': '8.096', 'mon_fri_avg': '8.819', 'sat_sun_avg': '6.018'}}"
BENISSADIGITAL.ES,3725.0,"{'browser_uniques': {'1_Month': '11.978', 'daily_avg': '631', 'mon_fri_avg': '679', 'sat_sun_avg': '495', 'pages_per_visit': '1,40', 'avg_visit_duration': '0:01:20', 'avg_interaction_time': '0:01:02'}, 'visits': {'1_Month': '22.132', 'daily_avg': '714', 'mon_fri_avg': '767', 'sat_sun_avg': '561'}, 'pages': {'1_Month': '30.997', 'daily_avg': '1.000', 'mon_fri_avg': '1.066', 'sat_sun_avg': '810'}}"
CALPDIGITAL.ES,3725.0,"{'browser_uniques': {'1_Month': '10.513', 'daily_avg': '506', 'mon_fri_avg': '534', 'sat_sun_avg': '424', 'pages_per_visit': '1,48', 'avg_visit_duration': '0:01:32', 'avg_interaction_time': '0:01:05'}, 'visits': {'1_Month': '17.679', 'daily_avg': '570', 'mon_fri_avg': '602', 'sat_sun_avg': '479'}, 'pages': {'1_Month': '26.107', 'daily_avg': '842', 'mon_fri_avg': '890', 'sat_sun_avg': '705'}}"
DENIADIGITAL.ES,3725.0,"{'browser_uniques': {'1_Month': '12.186', 'daily_avg': '473', 'mon_fri_avg': '474', 'sat_sun_avg': '470', 'pages_per_visit': '1,31', 'avg_visit_duration': '0:01:10', 'avg_interaction_time': '0:00:35'}, 'visits': {'1_Month': '15.754', 'daily_avg': '508', 'mon_fri_avg': '512', 'sat_sun_avg': '498'}, 'pages': {'1_Month': '20.663', 'daily_avg': '667', 'mon_fri_avg': '679', 'sat_sun_avg': '631'}}"
TEULADAMORAIRADIGITAL.ES,3725.0,"{'browser_uniques': {'1_Month': '42.271', 'daily_avg': '1.763', 'mon_fri_avg': '2.180', 'sat_sun_avg': '562', 'pages_per_visit': '1,29', 'avg_visit_duration': '0:00:54', 'avg_interaction_time': '0:00:27'}, 'visits': {'1_Month': '59.382', 'daily_avg': '1.916', 'mon_fri_avg': '2.361', 'sat_sun_avg': '636'}, 'pages': {'1_Month': '76.332', 'daily_avg': '2.462', 'mon_fri_avg': '2.991', 'sat_sun_avg': '942'}}"
XABIAALDIA.COM,3725.0,"{'browser_uniques': {'1_Month': '32.582', 'daily_avg': '1.744', 'mon_fri_avg': '1.697', 'sat_sun_avg': '1.878', 'pages_per_visit': '1,44', 'avg_visit_duration': '0:01:35', 'avg_interaction_time': '0:01:08'}, 'visits': {'1_Month': '61.975', 'daily_avg': '1.999', 'mon_fri_avg': '1.973', 'sat_sun_avg': '2.073'}, 'pages': {'1_Month': '89.415', 'daily_avg': '2.884', 'mon_fri_avg': '2.887', 'sat_sun_avg': '2.876'}}"
E6D.ES,46612.0,"{'browser_uniques': {'1_Month': '8.921', 'daily_avg': '333', 'mon_fri_avg': '357', 'sat_sun_avg': '267', 'pages_per_visit': '1,24', 'avg_visit_duration': '0:01:20', 'avg_interaction_time': '0:00:30'}, 'visits': {'1_Month': '11.008', 'daily_avg': '355', 'mon_fri_avg': '380', 'sat_sun_avg': '283'}, 'pages': {'1_Month': '13.595', 'daily_avg': '439', 'mon_fri_avg': '470', 'sat_sun_avg': '349'}}"
