media,area_of_influence,ojd,CCAA,PROV,AREA,platform,PGD,distribution,Origin
diari de rubí,Vallès Occidental,,CAT,BCN,"V,OC",papel,NO PGD,Vallès Occidental: Rubí.,AMIC
el jardí de sant gervasi i sarrià,Barcelonès,,CAT,BCN,AMB,papel,NO PGD,"BARCELONA _ DISTRICTE SARRIÀ-SANT GERVASI: La Bonanova, Monterols, Galvany, Turó Parc, El Farró, El Putxet, Sarrià, Tres Torres, Pedralbes Vallvidriera, Les Planes i El Tibidabo.",AMIC
el mònic,Tarragona,,CAT,TGN,C.TGN,papel,NO PGD,"Tarragonès: Torredembarra (centre) -  Barris> Baix a Mar i Clarà - Urbanitzacions> Sant Jordi, Els Munts, i Marítimes. Altafulla, Creixell, La Nou de Gaià, La Pobla de Montornès, La Riera de Gaià i Roda de Berà.",AMIC
7 dies actualitat de benicarló,Baix Maestrat,,PV,CAST,,papel,,"Baix Maestrat: Benicarló, Vinaròs, Peñíscola i ocasionalment pobles del voltant (nord Castelló i sud Tarragona)",AMIC
7 dies actualitat de vinaròs,Baix Maestrat,,PV,CAST,,papel,,"Baix Maestrat: Vinaròs, Benicarló, Peñíscola i ocasionalment pobles del voltant (nord Castelló i sud Tarragona)",AMIC
buris-ana,Comunitat Valenciana,,PV,CAST,,papel,,,AMIC
ciutat de carlet,Ribera Alta ,,PV,VAL,,papel,Mitjans amb PGD,Ribera Alta: Carlet.,AMIC
la opinión de torrent,València,,PV,VAL,,papel,Mitjans amb PGD,València: Localitat de Torrent exclusivament,AMIC
èxit vallès,Vallès Occidental,,CAT,BCN,V.OC,papel,NO PGD,Vallès Occidental: Sabadell,AMIC
flash deco sant cugat,Vallès Occidental,,CAT,BCN,V.OC,papel,NO PGD,Vallès Occidental: Sant Cugat ,AMIC
iluro,Maresme,,CAT,BCN,AMB,papel,NO PGD,Maresme: Mataró.,AMIC
info calafell,Baix Penedès,,CAT,TGN,C.TGN,papel,NO PGD,"Baix Penedès: Calafell (poble i platja), Segur de Calafell, Cunit (zona comercial).",AMIC
info roda,Baix Gaià,,CAT,TGN,C.TGN,papel,NO PGD,"Baix Gaià: Roda de Berà, Bonastre, Creixell (zona comercial)",AMIC
