ID,Origin,media,url,zipcode_iber,zipcode_cac,zipcode_ojd,zipcode_amic
265,"Iberfier, CAC",mataró ràdio,mataroradio.cat,08302,08302,,
266,"Iberfier, CAC",nova ràdio lloret,novaradiolloret.org,17310,17310,,
267,"Iberfier, CAC",olot televisió,olot.tv,17800,17800,,
268,"Iberfier, CAC",ona codinenca,onacodinenca.cat,08182,08182,,
269,"Iberfier, CAC",ona la torre,ona-latorre.cat,43830,43830,,
270,"Iberfier, CAC",rac 1,rac1.org,08036,08036,,
291,"Iberfier, CAC",rac 105,rac105.cat,08036,08036,,
306,"Iberfier, CAC",ràdio abrera,radioabrera.cat,08630,08630,,
307,"Iberfier, CAC",ràdio arenys,radioarenys.cat,08350,08350,,
308,"Iberfier, CAC",ràdio arenys de munt,radioarenysmunt.cat,08358,08358,,
309,"Iberfier, CAC",ràdio argentona,argentona.cat,08310,08310,,
310,"Iberfier, CAC",ràdio balsareny,radiobalsareny.org,08660,08660,,
311,"Iberfier, CAC",ràdio banyoles,Radiobanyoles.cat,17820,17820,,
312,"Iberfier, CAC",ràdio blanes,radioblanes.cat,17300,17300,,
313,"Iberfier, CAC",ràdio cabrera,audiovisualcabrera.net,08349,08349,,
314,"Iberfier, CAC",ràdio caldes,radiocaldes.cat,08140,08140,,
315,"Iberfier, CAC",ràdio canet,radiocanet.cat,08360,08360,,
316,"Iberfier, CAC",ràdio cap de creus,radiocapdecreus.radiostream321.com,17488,17488,,
317,"Iberfier, CAC",ràdio capellades,radiocapellades.net,08786,08786,,
318,"Iberfier, CAC",ràdio cassà,radiocassa.cat,17244,17244,,
319,"Iberfier, CAC",ràdio castelldefels,radiocastelldefels.org,08860,08860,,
320,"Iberfier, CAC",ràdio celrà,radio.celra.cat,17460,17460,,
321,"Iberfier, CAC",ràdio cornellà,radiocornella.cat,08940,08940,,
322,"Iberfier, CAC",ràdio cubelles,radiocubelles.cat,08880,08880,,
323,"Iberfier, CAC",ràdio cunit,radiocunit.cat,43881,43881,,
324,"Iberfier, CAC",ràdio desvern,radiodesvern.com,08960,08960,,
325,"Iberfier, CAC",ràdio dos 84,radiodos84.com,17450,17450,,
326,"Iberfier, CAC",ràdio estel,radioestel.com,08014,08014,,
337,"Iberfier, CAC",ràdio falset,radiofalset.cat,43730,43730,,
338,"Iberfier, CAC",ràdio flaixbac,radioflaixbac.cat,08007,"08007,08391",,
351,"Iberfier, CAC",ràdio flix,radioflix.cat,,43750,,
352,"Iberfier, CAC",ràdio gavà,radiogava.cat,08850,08840,,
353,"Iberfier, CAC",ràdio gelida,radiogelida.cat,08790,08790,,
354,"Iberfier, CAC",ràdio granollers,emisora.org.es,08401,08400,,
355,"Iberfier, CAC",ràdio igualada,radioigualada.cat,08700,08700,,
356,"Iberfier, CAC",ràdio la vall,radiolavall.cat,17178,17178,,
357,"Iberfier, CAC",ràdio les borges,radiolesborges.cat,25400,25400,,
358,"Iberfier, CAC",ràdio l'escala,radiolescala.cat,17130,17130,,
359,"Iberfier, CAC",ràdio les planes,radiolesplanes.com,17172,17172,,
360,"Iberfier, CAC",ràdio llavaneres,radiollavaneres.cat,08392,08392,,
361,"Iberfier, CAC",ràdio manlleu,radiomanlleu.cat,08560,08560,,
362,"Iberfier, CAC",ràdio maricel,radiomaricel.cat,08870,08870,,
363,"Iberfier, CAC",ràdio marina,radiomarina.com,17003,17300,,
365,"Iberfier, CAC",ràdio masquefa,miratv.cat,,08783,,
366,"Iberfier, CAC",ràdio molins de rei,radiomolinsderei.cat,08750,08750,,
367,"Iberfier, CAC",ràdio montblanc,radiomontblanc.cat,43400,43400,,
368,"Iberfier, CAC",ràdio montgrí,radiomontgri.com,17257,17257,,
369,"Iberfier, CAC",ràdio montornès,radio.montornes.cat,08170,08170,,
370,"Iberfier, CAC",ràdio ona,radioona.com,08570,08570,,
371,"Iberfier, CAC",ràdio palafolls,radiopalafolls.cat,08389,08389,,
372,"Iberfier, CAC",ràdio palafrugell,radiopalafrugell.cat,17200,17200,,
373,"Iberfier, CAC",ràdio palamós,palamoscomunicacio.cat,17230,17230,,
374,"Iberfier, CAC",ràdio pineda,radiopineda.com,08397,08397,,
375,"Iberfier, CAC",ràdio pista,radiopista.cat,08550,08550,,
376,"Iberfier, CAC",ràdio premià de mar,radiopremiademar.org,08330,08330,,
377,"Iberfier, CAC",ràdio puig-reig,radiopuig-reig.net,08692,08692,,
378,"Iberfier, CAC",ràdio ràpita,enacast.com,43540,43540,,
379,"Iberfier, CAC",ràdio rosselló,radiorossello.radiostream321.com,25124,25124,,
380,"Iberfier, CAC",ràdio rubí,radiorubi.fm,,08191,,
381,"Iberfier, CAC",ràdio sallent,radiosallent.cat,08650,08650,,
382,"Iberfier, CAC",ràdio sant andreu,radiosantandreu.com,08740,08740,,
383,"Iberfier, CAC",ràdio sant boi,radiosantboi.cat,08830,08830,,
384,"Iberfier, CAC",ràdio sant cebrià,radiosantcebria.cat,08396,08396,,
385,"Iberfier, CAC",ràdio sant feliu,rsf.cat,17220,"08980,17220",,
387,"Iberfier, CAC",ràdio sant hilari,radiosanthilari.com,17403,17403,,
388,"Iberfier, CAC",ràdio sant joan,rsj.cat,17857,"17857,08250",,
390,"Iberfier, CAC",ràdio sant quirze,radiosantquirze.cat,08192,08192,,
391,"Iberfier, CAC",ràdio sant sadurní,radiosantsadurni.wordpress.com,08770,08770,,
392,"Iberfier, CAC",ràdio sarrià,radio.sarriadeter.cat,17840,17840,,
393,"Iberfier, CAC",ràdio silenci,radiosilenci.cat,08530,08530,,
394,"Iberfier, CAC",ràdio súria,radiosuria.cat,08260,08260,,
395,"Iberfier, CAC",ràdio taradell,radiotaradell.com,08552,08552,,
396,"Iberfier, CAC",ràdio tiana,lalocal.tianat.cat,08391,08391,,
397,"Iberfier, CAC",ràdio tordera,radiotordera.cat,08490,08490,,
398,"Iberfier, CAC",ràdio tortosa,radiotortosa.cat,43500,43500,,
399,"Iberfier, CAC",ràdio vic,radiovic.cat,08500,08500,,
400,"Iberfier, CAC",ràdio vilablareix,radiovilablareix.cat,17180,17180,,
401,"Iberfier, CAC",ràdio vilafant,radiovilafant.net,17740,17740,,
402,"Iberfier, CAC",ràdio vila-sacra,radiovila-sacra.cat,17485,17485,,
403,"Iberfier, CAC",ràdio vitamènia,radiovitamenia.wordpress.com,08460,08460,,
404,"Iberfier, CAC",ràdio voltregà,radiovoltrega.com,08512,08512,,
405,"Iberfier, CAC",ser catalunya,cadenaser.com,08010,"17800,25007,08099,25230,08010,17230,43000,27005",,
418,"Iberfier, CAC",tarragona ràdio,tarragonaradio.cat,43005,43005,,
419,"Iberfier, CAC",vallès visió,vallesvisio.cat,08100,08100,,
420,"AMIC, Iberfier",sies,sies.tv,17001,,,17001
421,"AMIC, Iberfier",revistamirall,revistamirall.com,08014,,,08002
422,"AMIC, Iberfier",donesdigital,donesdigital.cat,08007,,,
423,"AMIC, Iberfier",regio7,regio7.cat,08240,,,
424,"AMIC, Iberfier",penedeseconomic,penedeseconomic.com,08720,,,
425,"AMIC, Iberfier",naciodigital,naciodigital.cat,08007,,,
521,"AMIC, Iberfier",gerio,gerio.cat,17190,,,17190
522,"AMIC, Iberfier",isabadell,isabadell.cat,08201,,,08206
523,"AMIC, Iberfier",lleida,lleida.com,25008,,,25008
524,"AMIC, Iberfier",rctgn,rctgn.cat,43001,,,
525,"AMIC, Iberfier",totbarcelona,totbarcelona.cat,08007,,,08007
526,"AMIC, Iberfier",amartorell,amartorell.com,"08783,08760",,,08783
528,"AMIC, Iberfier",canalreustv,canalreustv.cat,43204,,,
529,"AMIC, Iberfier",canalte,canalte.cat,43500,,,
530,"AMIC, Iberfier",castellvilarenc,castellvilarenc.info,08296,,,08296
531,"AMIC, Iberfier",cerdanyolaaldia,cerdanyolaaldia.com,08290,,,
532,"AMIC, Iberfier",diaridebadalona,diaridebadalona.com,08912,,,
533,"AMIC, Iberfier",diarieljardi,diarieljardi.cat,08034,,,
534,"AMIC, Iberfier",diarisantquirze,diarisantquirze.cat,08192,,,08192
535,"AMIC, Iberfier",elbaix,elbaix.cat,08980,,,08980
536,"AMIC, Iberfier",gava,gava.info,"28006,08850",,,
538,"AMIC, Iberfier",independent,independent.cat,08012,,,
540,"AMIC, Iberfier",laclau,laclau.cat,08340,,,
