ID,Origin,media,url,zipcode,comarca,provincia,comunidad autonoma
108,"AMIC, OJD",tdbactualitat,tdbactualitat.cat,,,,
109,"AMIC, OJD",totcerdanyola,totcerdanyola.cat,,,,
110,"AMIC, OJD",totrubi,totrubi.cat,,,,
111,"AMIC, OJD",laveudelsllibres,laveudelsllibres.cat,,,,
113,"AMIC, OJD",7diesactualitat,7diesactualitat.com,,,,
114,"AMIC, OJD",monplaneta,monplaneta.cat,,,,
115,"AMIC, OJD",viasona,viasona.cat,,,,
116,"AMIC, OJD",uepmallorca,uepmallorca.app,,,,
118,"AMIC, OJD",lasbandasdemusica,lasbandasdemusica.com,,,,
119,"AMIC, OJD",elmondelatele,elmondelatele.cat,,,,
120,"AMIC, OJD",periodicontinyent,periodicontinyent.com,,,,
121,"AMIC, OJD",castello24,castello24.com,,,,
122,"AMIC, OJD",foravila,foravila.net,,,,
123,"AMIC, OJD",balearsvadevi,balearsvadevi.cat,,,,
125,"AMIC, OJD",digitalmanacor,digitalmanacor.com,,,,
126,"AMIC, OJD",eliris,eliris.cat,,,,
127,"AMIC, OJD",mallorcadiario,mallorcadiario.com,,,,
128,"AMIC, OJD",menorcaaldia,menorcaaldia.com,,,,
129,"AMIC, OJD",menorca,menorca.info,,,,
130,"AMIC, OJD",palmesana,palmesana.com,,,,
131,"AMIC, OJD",revista07500,revista07500.com,,,,
132,"AMIC, OJD",ultimahora,ultimahora.es,,,,
133,"AMIC, OJD",firesifestes,firesifestes.es,,,,
134,"AMIC, OJD",alicantextra,alicantextra.com,,,,
135,"AMIC, OJD",castellonoticies,castellonoticies.com,,,,
137,"AMIC, OJD",revistapoble,revistapoble.net,,,,
138,"AMIC, OJD",revistasao,revistasao.cat,,,,
139,"AMIC, OJD",tvdigitalontinyent,tvdigitalontinyent.com,,,,
140,"AMIC, OJD",diariandorra,diariandorra.ad,,,,
141,"Iberfier, OJD",aldia.cat,aldia.cat,28046,,,
142,"Iberfier, OJD",alicante plaza,alicanteplaza.es,46002,València,Valencia/València,Comunidad Valenciana
143,"Iberfier, OJD",betera.com,betera.com,46117,El Camp de Túria,Valencia/València,Comunidad Valenciana
144,"Iberfier, OJD",camp de túria,camp-de-turia.es,46190,El Camp de Túria,Valencia/València,Comunidad Valenciana
145,"Iberfier, OJD",castellón plaza,castellonplaza.com,46002,València,Valencia/València,Comunidad Valenciana
146,"Iberfier, OJD",catalunya diari,catalunyadiari.com,43201,Baix Camp,Tarragona,Cataluña
147,"Iberfier, OJD",catorze,catorze.cat,08012,Barcelonès,Barcelona,Cataluña
148,"Iberfier, OJD",comarcal cv,comarcalcv.com,46020,València,Valencia/València,Comunidad Valenciana
149,"Iberfier, OJD",cugat.cat,cugat.cat,08172,Vallès Occidental,Barcelona,Cataluña
150,"Iberfier, OJD",cuina,cuina.cat,08014,Barcelonès,Barcelona,Cataluña
151,"Iberfier, OJD",dénia.com,denia.com,03700,La Marina Alta,Alicante/Alacant,Comunidad Valenciana
152,"Iberfier, OJD",descobrir,descobrir.cat,17005,Gironès,Girona,Cataluña
153,"Iberfier, OJD",diari digital,diaridigital.es,46800,La Costera,Valencia/València,Comunidad Valenciana
154,"Iberfier, OJD",diario de alicante,diariodealicante.net,03002,L'Alacantí,Alicante/Alacant,Comunidad Valenciana
155,"Iberfier, OJD",directa,directa.cat,08014,Barcelonès,Barcelona,Cataluña
156,"Iberfier, OJD",el meridiano l'horta,elmeridiano.es,46023,València,Valencia/València,Comunidad Valenciana
157,"Iberfier, OJD",elperiodic.com,elperiodic.com,35215,,,
158,"Iberfier, OJD",empordà info,emporda.info,17600,Alt Empordà,Girona,Cataluña
159,"Iberfier, OJD",golsmedia,golsmedia.com,46001,València,Valencia/València,Comunidad Valenciana
160,"Iberfier, OJD",infotúria,infoturia.com,46183,,Valencia/València,Comunidad Valenciana
161,"Iberfier, OJD",la república,larepublica.cat,08014,Barcelonès,Barcelona,Cataluña
162,"Iberfier, OJD",la veu de lliria,laveudelliria.com,46160,El Camp de Túria,Valencia/València,Comunidad Valenciana
163,"Iberfier, OJD",lleida diari,lleidadiari.cat,25001,Segrià,Lleida,Cataluña
164,"Iberfier, OJD",manresa diari,manresadiari.cat,08240,Bages,Barcelona,Cataluña
165,"Iberfier, OJD",noticias comunitat valenciana,noticiascv.com,,,,
166,"Iberfier, OJD",nova tàrrega,novatarrega.cat,25300,Urgell,Lleida,Cataluña
