media,area_of_influence,ojd,url,CCAA,PROV,AREA,platform,PGD,distribution,Origin,active_iber,address_iber,zipcode_iber,lat_iber,lng_iber,platform_iber,province_iber,CCAA_iber,type_media_cac,address_cac,lat_cac,lng_cac,zipcode_cac,classification_ojd,sub_classification_ojd,unique_visitors_ojd
somlallagosta,"Vallès Oriental, LaLlagosta",OJD,somlallagosta.cat,CAT,B,amb,digital,,,"AMIC, Iberfier, OJD",True,"Rambla Pompeu Fabra, 32 - 08100 Mollet del Vallès (Barcelona)",8100,41.540286,2.2187857,"web, print",Barcelona,CAT,,,,,,Notícies i Informació,Notícies globals i actualitat,115.0
somlesfranqueses,"Vallès Oriental, Les Franqueses",OJD,somlesfranqueses.cat,CAT,B,amb,digital,,,"AMIC, Iberfier, OJD",True,"Rambla Pompeu Fabra, 32 - 08100 Mollet del Vallès (Barcelona)",8100,41.540286,2.2187857,"web, print",Barcelona,CAT,,,,,,Notícies i Informació,Notícies globals i actualitat,85.0
sommartorelles,"Vallès Oriental, Martorelles",OJD,sommartorelles.cat,CAT,B,amb,digital,,,"AMIC, Iberfier, OJD",True,"Rambla Pompeu Fabra, 32 - 08100 Mollet del Vallès (Barcelona)",8100,41.540286,2.2187857,"web, print",Barcelona,CAT,,,,,,Notícies i Informació,Notícies globals i actualitat,99.0
somparets,"Vallès Oriental, Parets",OJD,somparets.cat,CAT,B,amb,digital,,,"AMIC, Iberfier, OJD",True,"Rambla Pompeu Fabra, 32 - 08100 Mollet del Vallès (Barcelona)",8100,41.540286,2.2187857,"web, print",Barcelona,CAT,,,,,,Notícies i Informació,Notícies globals i actualitat,247.0
somsantfost,"Vallès Oriental, Sant Fost",OJD,somsantfost.cat,CAT,B,amb,digital,,,"AMIC, Iberfier, OJD",True,"Rambla Pompeu Fabra, 32 - 08100 Mollet del Vallès (Barcelona)",8100,41.540286,2.2187857,"print, web",Barcelona,CAT,,,,,,Notícies i Informació,Notícies globals i actualitat,73.0
tarragonadigital,Demarcació Tarragona,OJD,tarragonadigital.com,CAT,T,ct,digital,,,"AMIC, Iberfier, OJD",True,"Sant Serapi, 2  43201 Reus. Tarragona, Catalunya",43201,41.1526702,1.1040179,web,Tarragona,CAT,,,,,,Notícies i Informació,Notícies globals i actualitat,6191.0
tarrega,Tàrrega,OJD,tarrega.tv,CAT,L,,digital,,,"AMIC, Iberfier, OJD",True,Av Josep Trepat i Galceran Porta 2 - 25300 Tàrrega,25300,41.647404,1.1288403,"tv, web",Lleida,CAT,,,,,,Notícies i Informació,Notícies globals i actualitat,82.0
totsantcugat,Vallès Occidental,OJD,totsantcugat.cat,CAT,B,amb,digital,,,"AMIC, Iberfier, OJD",True,"Sant Antoni, 42 08172 Sant Cugat del Vallès",8172,41.4687335,2.0790992,web,Barcelona,CAT,,,,,,Notícies i Informació,Notícies globals i actualitat,4983.0
veuanoia,Anoia,OJD,veuanoia.cat,CAT,B,cc,digital,,,"AMIC, Iberfier, OJD",True,Retir 40 – 08700 – IGUALADA (Barcelona),8700,41.580166,1.6158579,web,Barcelona,CAT,,,,,,Notícies i Informació,Notícies globals i actualitat,2355.0
veuanoia,Anoia,OJD,veuanoia.cat,CAT,B,cc,digital,,,"AMIC, Iberfier, OJD",True,Retir 40 a IGUALADA (08700),8700,41.580166,1.6158579,"web, print",Barcelona,CAT,,,,,,Notícies i Informació,Notícies globals i actualitat,2355.0
