ID,Origin,media,url,zipcode_iber,zipcode_cac
283,"Iberfier, CAC",ràdio sallent,radiosallent.cat,08650,08650
284,"Iberfier, CAC",ràdio sant andreu,radiosantandreu.com,08740,08740
285,"Iberfier, CAC",ràdio sant boi,radiosantboi.cat,08830,08830
286,"Iberfier, CAC",ràdio sant cebrià,radiosantcebria.cat,08396,08396
287,"Iberfier, CAC",ràdio sant feliu,rsf.cat,17220,"08980,17220"
289,"Iberfier, CAC",ràdio sant hilari,radiosanthilari.com,17403,17403
290,"Iberfier, CAC",ràdio sant joan,rsj.cat,17857,"17857,08250"
292,"Iberfier, CAC",ràdio sant quirze,radiosantquirze.cat,08192,08192
293,"Iberfier, CAC",ràdio sant sadurní,radiosantsadurni.wordpress.com,08770,08770
294,"Iberfier, CAC",ràdio sarrià,radio.sarriadeter.cat,17840,17840
295,"Iberfier, CAC",ràdio silenci,radiosilenci.cat,08530,08530
296,"Iberfier, CAC",ràdio súria,radiosuria.cat,08260,08260
297,"Iberfier, CAC",ràdio taradell,radiotaradell.com,08552,08552
298,"Iberfier, CAC",ràdio tiana,lalocal.tianat.cat,08391,08391
299,"Iberfier, CAC",ràdio tordera,radiotordera.cat,08490,08490
300,"Iberfier, CAC",ràdio tortosa,radiotortosa.cat,43500,43500
301,"Iberfier, CAC",ràdio vic,radiovic.cat,08500,08500
302,"Iberfier, CAC",ràdio vilablareix,radiovilablareix.cat,17180,17180
303,"Iberfier, CAC",ràdio vilafant,radiovilafant.net,17740,17740
304,"Iberfier, CAC",ràdio vila-sacra,radiovila-sacra.cat,17485,17485
305,"Iberfier, CAC",ràdio vitamènia,radiovitamenia.wordpress.com,08460,08460
306,"Iberfier, CAC",ràdio voltregà,radiovoltrega.com,08512,08512
307,"Iberfier, CAC",ser catalunya,cadenaser.com,08010,"17800,25007,08099,25230,08010,17230,43000,27005"
316,"Iberfier, CAC",tarragona ràdio,tarragonaradio.cat,43005,43005
317,"Iberfier, CAC",vallès visió,vallesvisio.cat,08100,08100
318,"AMIC, Iberfier",sies,sies.tv,17001,
319,"AMIC, Iberfier",revistamirall,revistamirall.com,08014,
320,"AMIC, Iberfier",donesdigital,donesdigital.cat,08007,
321,"AMIC, Iberfier",regio7,regio7.cat,08240,
322,"AMIC, Iberfier",penedeseconomic,penedeseconomic.com,08720,
323,"AMIC, Iberfier",naciodigital,naciodigital.cat,08007,
324,"AMIC, Iberfier",gerio,gerio.cat,17190,
325,"AMIC, Iberfier",isabadell,isabadell.cat,08201,
326,"AMIC, Iberfier",lleida,lleida.com,25008,
327,"AMIC, Iberfier",rctgn,rctgn.cat,43001,
328,"AMIC, Iberfier",totbarcelona,totbarcelona.cat,08007,
329,"AMIC, Iberfier",amartorell,amartorell.com,"08783,08760",
331,"AMIC, Iberfier",canalreustv,canalreustv.cat,43204,
332,"AMIC, Iberfier",canalte,canalte.cat,43500,
333,"AMIC, Iberfier",castellvilarenc,castellvilarenc.info,08296,
334,"AMIC, Iberfier",cerdanyolaaldia,cerdanyolaaldia.com,08290,
335,"AMIC, Iberfier",diaridebadalona,diaridebadalona.com,08912,
336,"AMIC, Iberfier",diarieljardi,diarieljardi.cat,08034,
337,"AMIC, Iberfier",diarisantquirze,diarisantquirze.cat,08192,
338,"AMIC, Iberfier",elbaix,elbaix.cat,08980,
339,"AMIC, Iberfier",gava,gava.info,"28006,08850",
341,"AMIC, Iberfier",independent,independent.cat,08012,
342,"AMIC, Iberfier",laclau,laclau.cat,08340,
343,"AMIC, Iberfier",latorredebarcelona,latorredebarcelona.com,08024,
344,"AMIC, Iberfier",montpeita,montpeita.cat,08272,
345,"AMIC, Iberfier",revistaderipollet,revistaderipollet.cat,08291,
346,"AMIC, Iberfier",santboidiari,santboidiari.com,08750,
347,"AMIC, Iberfier",tasta,tasta.cat,08600,
348,"AMIC, Iberfier",totlleida,totlleida.cat,25003,
349,"AMIC, Iberfier",uncopdull,uncopdull.com,43500,
350,"AMIC, Iberfier",diaridesantacoloma,diaridesantacoloma.com,08912,
351,"AMIC, Iberfier",diaridesantadria,diaridesantadria.com,08912,
352,"AMIC, Iberfier",aolesa,aolesa.com,08783,
353,"AMIC, Iberfier",amasquefa,amasquefa.com,08783,
354,"AMIC, Iberfier",lescroniques,lescroniques.com,08224,
355,"AMIC, Iberfier",loest,loest.cat,25300,
356,"AMIC, Iberfier",alcaldes,alcaldes.eu,08007,
357,"AMIC, Iberfier",defrancdigital,defrancdigital.com,07181,
358,"AMIC, Iberfier",teatral,teatral.net,08001,
359,"AMIC, Iberfier",elllobregat,elllobregat.com,08830,
360,"AMIC, Iberfier",lavoz,lavoz.cat,08860,
361,"AMIC, Iberfier",elfar,elfar.cat,08940,
362,"AMIC, Iberfier",arabalears,arabalears.cat,07001,
363,"AMIC, Iberfier",capvermell,capvermell.org,07580,
364,"AMIC, Iberfier",manacormanacor,manacormanacor.com,07500,
365,"AMIC, Iberfier",viufelanitx,viufelanitx.com,07200,
366,"AMIC, Iberfier",lamarinaplaza,lamarinaplaza.com,03700,
367,"AMIC, Iberfier",aquí berguedà,,08600,
368,"AMIC, Iberfier",anoia diari,,08700,
369,"AMIC, Iberfier",catalunya religió,,08025,
370,"AMIC, Iberfier",cerdanyola al dia,,08290,
371,"AMIC, Iberfier",comarques de ponent,,25300,
372,"AMIC, Iberfier",cop d'ull,,43500,
373,"AMIC, Iberfier",diari més ebre,,43500,
374,"AMIC, Iberfier",el cargol,,08720,
375,"AMIC, Iberfier",la clau,,08340,
376,"AMIC, Iberfier",la premsa del baix,,08950,
377,"AMIC, Iberfier",l'enllaç dels anoiencs,,08700,
378,"AMIC, Iberfier",l'independent de gràcia,,08012,
379,"AMIC, Iberfier",línia ciutat vella,,08013,
380,"AMIC, Iberfier",línia cornellà,,08013,
381,"AMIC, Iberfier",línia eixample,,08013,
382,"AMIC, Iberfier",línia gràcia,,08013,
383,"AMIC, Iberfier",línia horta,,08013,
384,"AMIC, Iberfier",línia nou barris,,08013,
385,"AMIC, Iberfier",línia sant andreu,,08013,
386,"AMIC, Iberfier",línia sant martí,,08013,
387,"AMIC, Iberfier",línia sants,,08013,
388,"AMIC, Iberfier",revista de ripollet,,08291,
389,"AMIC, Iberfier",tot cerdanyola,,08290,
390,"AMIC, Iberfier",tot sant cugat,,08172,
391,"AMIC, Iberfier",tribuna maresme,,08330,
392,"AMIC, Iberfier",3 viles,,08302,
393,"AMIC, Iberfier",diari de badalona,,08912,
394,"AMIC, Iberfier",diari de rubí,,08191,
395,"AMIC, Iberfier",el jardí de sant gervasi i sarrià,,08034,
396,"AMIC, Iberfier",la borrufa,,25560,
397,"AMIC, Iberfier",la guia de reus,,43206,
398,"AMIC, Iberfier",l'alzina,,08184,
399,"AMIC, Iberfier",ripollet al dia,,08290,
400,"AMIC, Iberfier",viure als pirineus,,25230,
401,"AMIC, Iberfier",ara balears,,07001,
402,"AMIC, Iberfier",diari de girona,,17002,
403,"AMIC, Iberfier",diari de sabadell,,08201,
404,"AMIC, Iberfier",diari de terrassa,,08221,
405,"AMIC, Iberfier",diari jornada,,08010,
406,"AMIC, Iberfier",el temps,,46001,
407,"AMIC, Iberfier",la mañana,,25191,
408,"AMIC, Iberfier",la veu de l'anoia,,08700,
409,"AMIC, Iberfier",montpeità,,08272,
410,"AMIC, Iberfier",regió 7,,08240,
411,"AMIC, Iberfier",revista cambrils,,43850,
412,"AMIC, Iberfier",sa veu,,07100,
413,AMIC,eldiari,eldiari.online,,
414,AMIC,campingscat,campingscat.com,,
415,AMIC,Catalunyareligio,Catalunyareligio.cat  ,,
416,AMIC,sapsque,sapsque.com,,
417,AMIC,laveudalginet,laveudalginet.es,,
418,AMIC,escenacultural,escenacultural.net,,
419,AMIC,diaridebenicassim,diaridebenicassim.com,,
420,AMIC,areavisual,areavisual.cat,,
421,AMIC,gentedelasafor,gentedelasafor.es,,
422,AMIC,media,media.cat,,
423,AMIC,Núvol,Núvol.com,,
424,AMIC,frontissa,frontissa.cat,,
425,AMIC,culturalia,culturalia.club,,
426,AMIC,festescatalunya,festescatalunya.com,,
427,AMIC,culturaipaisatge,culturaipaisatge.cat ,,
428,AMIC,tempsarts,tempsarts.cat,,
429,AMIC,verlanga,verlanga.com,,
430,AMIC,elculturista,elculturista.cat,,
431,AMIC,diaridelallengua,diaridelallengua.cat,,
432,AMIC,aboriginemag,aboriginemag.com,,
433,AMIC,inediteducacion,inediteducacion.com ( ineditweb.es),,
434,AMIC,vadevi,vadevi.cat,,
435,AMIC,valledeelda,valledeelda.com,,
436,AMIC,carrerlliure,carrerlliure.cat,,
437,AMIC,canalte24,canalte24.cat ,,
438,AMIC,esportsradio,esportsradio.cat,,
439,AMIC,larepublicaesportiva,larepublicaesportiva.cat ,,
440,AMIC,mon,mon,,
441,AMIC,esportbalear,esportbalear.es,,
442,AMIC,esportandreuenc,esportandreuenc.cat,,
443,AMIC,lapositiva,lapositiva.cat,,
444,AMIC,elgourmetcatala,elgourmetcatala.cat,,
